family_id,region,survey_type,satisfied_with_services,satisfied_case_management,involved_in_service_planning,gets_needed_information,services_meet_needs,respite_access_adequate,community_connections_support,would_recommend_services
FAM-00001,Western New York,Adult Family Survey,1,1,0,1,1,0,0,0
FAM-00002,Long Island,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00003,Southern Tier,Adult Family Survey,1,1,1,1,1,0,0,1
FAM-00004,Long Island,Family/Guardian Survey,1,1,1,1,1,0,1,0
FAM-00005,Western New York,Family/Guardian Survey,0,0,0,0,1,1,1,1
FAM-00006,Finger Lakes,Child Family Survey,1,1,1,1,1,0,1,1
FAM-00007,Western New York,Adult Family Survey,1,1,0,0,1,0,0,0
FAM-00008,North Country,Adult Family Survey,1,1,0,1,1,0,1,1
FAM-00009,Long Island,Child Family Survey,1,1,1,1,1,0,1,0
FAM-00010,Mohawk Valley,Adult Family Survey,0,1,1,1,1,1,0,1
FAM-00011,Western New York,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00012,New York City,Child Family Survey,0,1,1,1,1,1,0,0
FAM-00013,Southern Tier,Child Family Survey,0,1,1,1,1,1,1,1
FAM-00014,Long Island,Adult Family Survey,1,1,1,0,1,1,1,1
FAM-00015,Capital Region,Family/Guardian Survey,0,1,1,0,1,1,0,1
FAM-00016,Southern Tier,Adult Family Survey,1,1,1,1,1,1,1,1
FAM-00017,New York City,Child Family Survey,1,1,1,1,0,0,1,0
FAM-00018,Long Island,Child Family Survey,1,1,1,1,0,0,0,1
FAM-00019,New York City,Adult Family Survey,0,1,1,1,1,1,1,1
FAM-00020,Long Island,Adult Family Survey,1,1,1,1,0,1,1,0
FAM-00021,New York City,Adult Family Survey,1,1,0,1,1,1,1,1
FAM-00022,Hudson Valley,Child Family Survey,1,1,1,0,0,0,1,1
FAM-00023,New York City,Child Family Survey,1,1,1,1,1,1,0,1
FAM-00024,Long Island,Child Family Survey,1,1,0,0,1,1,1,1
FAM-00025,Hudson Valley,Adult Family Survey,0,1,1,0,1,1,0,1
FAM-00026,Long Island,Child Family Survey,1,1,1,0,1,1,1,1
FAM-00027,Western New York,Adult Family Survey,0,1,0,0,0,0,0,0
FAM-00028,Southern Tier,Adult Family Survey,1,1,1,0,1,1,0,1
FAM-00029,Capital Region,Adult Family Survey,0,1,0,1,0,0,1,0
FAM-00030,Capital Region,Child Family Survey,1,1,1,0,1,0,1,1
FAM-00031,Finger Lakes,Family/Guardian Survey,1,1,1,1,1,0,1,1
FAM-00032,Hudson Valley,Family/Guardian Survey,0,0,1,1,1,0,0,1
FAM-00033,Southern Tier,Child Family Survey,1,0,1,1,1,1,1,1
FAM-00034,Central New York,Family/Guardian Survey,1,1,1,0,0,0,0,1
FAM-00035,New York City,Adult Family Survey,1,0,1,1,1,0,1,1
FAM-00036,Hudson Valley,Family/Guardian Survey,1,0,1,0,1,0,0,1
FAM-00037,Hudson Valley,Adult Family Survey,0,0,1,1,1,0,0,1
FAM-00038,Long Island,Family/Guardian Survey,1,1,0,1,1,1,0,1
FAM-00039,New York City,Family/Guardian Survey,1,1,0,1,0,1,1,1
