family_id,region,survey_type,indicator_key,value,indicator
FAM-00001,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00002,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00003,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00004,Long Island,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00005,Western New York,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00006,Finger Lakes,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00007,Western New York,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00008,North Country,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00009,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00010,Mohawk Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00011,Western New York,Family/Guardian Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00012,New York City,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00013,Southern Tier,Child Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00014,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00015,Capital Region,Family/Guardian Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00016,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00017,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00018,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00019,New York City,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00020,Long Island,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00021,New York City,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00022,Hudson Valley,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00023,New York City,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00024,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00025,Hudson Valley,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00026,Long Island,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00027,Western New York,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00028,Southern Tier,Adult Family Survey,satisfied_with_services,1,Satisfied with services overall
FAM-00029,Capital Region,Adult Family Survey,satisfied_with_services,0,Satisfied with services overall
FAM-00030,Capital Region,Child Family Survey,satisfied_with_services,1,Satisfied with services overall
