agency_id,region,agency_size,num_dsp,dsp_turnover_rate,dsp_vacancy_rate,avg_hourly_wage,starting_hourly_wage,avg_tenure_months,pct_overtime_hours,offers_health_insurance,offers_retirement_plan,offers_paid_time_off,uses_signon_bonus
AGY-0001,Central New York,Large (200+),351,42.5,19.9,19.09,18.16,30.0,15.3,1,1,1,0
AGY-0002,New York City,Small (<50 DSPs),17,28.3,7.8,21.57,19.71,36.6,6.3,1,1,0,1
AGY-0003,New York City,Small (<50 DSPs),8,33.9,17.0,21.51,20.42,40.1,10.0,0,1,0,1
AGY-0004,Finger Lakes,Small (<50 DSPs),46,46.4,13.7,18.89,17.09,25.7,13.7,1,1,0,1
AGY-0005,North Country,Small (<50 DSPs),42,49.9,18.5,16.59,15.56,29.3,13.2,0,0,0,0
AGY-0006,Long Island,Small (<50 DSPs),28,42.6,16.3,21.63,20.3,29.6,13.7,1,0,1,1
AGY-0007,Hudson Valley,Medium (50-199),112,35.0,12.1,21.25,19.13,34.3,10.8,1,0,1,0
AGY-0008,Western New York,Medium (50-199),173,43.8,15.8,17.92,15.91,36.3,11.5,1,1,1,0
AGY-0009,New York City,Medium (50-199),143,35.8,9.8,23.38,22.41,35.3,11.9,0,1,1,1
AGY-0010,Central New York,Small (<50 DSPs),23,51.5,19.0,18.2,16.75,36.8,12.9,1,0,1,0
AGY-0011,New York City,Large (200+),306,22.8,9.0,23.45,21.97,38.9,6.9,1,1,1,0
AGY-0012,Central New York,Small (<50 DSPs),18,43.5,10.0,18.08,16.44,32.5,13.6,1,0,1,0
AGY-0013,New York City,Medium (50-199),130,26.5,6.3,22.81,21.68,39.2,7.5,1,1,1,0
AGY-0014,Long Island,Medium (50-199),180,33.4,12.9,22.98,21.83,39.5,12.3,1,1,1,0
AGY-0015,Capital Region,Large (200+),712,44.0,16.9,20.17,18.75,28.0,12.7,1,1,1,0
AGY-0016,Long Island,Large (200+),854,35.2,11.1,22.13,20.68,40.7,10.1,1,1,1,0
AGY-0017,Central New York,Small (<50 DSPs),29,40.9,14.2,17.97,16.31,33.5,6.6,0,0,0,0
AGY-0018,New York City,Medium (50-199),159,40.2,8.9,22.86,21.31,29.4,14.7,1,1,1,0
AGY-0019,Long Island,Small (<50 DSPs),40,45.2,19.9,21.81,20.64,39.7,16.3,0,1,1,1
AGY-0020,Mohawk Valley,Medium (50-199),174,47.2,15.5,17.17,15.19,22.1,16.4,0,1,0,1
AGY-0021,Finger Lakes,Medium (50-199),75,47.9,13.9,17.16,16.32,31.8,16.0,0,0,1,0
AGY-0022,New York City,Small (<50 DSPs),26,35.3,16.2,21.66,20.59,44.2,7.8,1,0,1,0
AGY-0023,New York City,Medium (50-199),184,26.6,7.3,23.26,22.17,35.6,4.7,1,1,1,0
AGY-0024,Long Island,Small (<50 DSPs),25,40.0,17.5,21.85,20.31,34.9,14.2,1,0,1,1
AGY-0025,Finger Lakes,Small (<50 DSPs),28,40.6,14.1,17.79,16.09,33.8,19.9,0,1,1,0
AGY-0026,Capital Region,Medium (50-199),68,50.9,21.3,18.17,16.03,19.1,18.3,0,0,1,0
AGY-0027,Capital Region,Small (<50 DSPs),41,41.8,11.4,19.14,17.0,30.7,5.2,1,0,0,0
AGY-0028,Long Island,Small (<50 DSPs),25,38.1,10.2,22.47,21.31,36.4,11.2,1,0,0,0
AGY-0029,North Country,Small (<50 DSPs),9,38.4,17.1,17.11,15.69,32.7,10.9,0,0,0,0
AGY-0030,Hudson Valley,Medium (50-199),60,50.3,22.2,20.16,18.37,25.5,15.3,0,0,0,0
AGY-0031,New York City,Small (<50 DSPs),28,27.9,15.1,21.92,20.08,38.4,12.3,1,0,1,0
AGY-0032,New York City,Large (200+),441,32.5,13.8,23.66,22.32,40.0,4.2,1,1,1,0
AGY-0033,Long Island,Large (200+),324,41.0,21.1,23.02,21.38,27.2,14.4,1,1,1,0
AGY-0034,Finger Lakes,Medium (50-199),147,43.2,16.9,19.24,17.4,32.6,15.2,1,0,1,0
AGY-0035,New York City,Medium (50-199),186,41.8,15.2,21.72,20.65,31.1,15.0,1,0,1,1
AGY-0036,New York City,Large (200+),396,36.7,17.1,23.12,21.1,44.0,12.5,1,1,1,0
AGY-0037,New York City,Small (<50 DSPs),35,40.7,13.9,22.22,21.06,37.2,14.1,0,0,0,1
AGY-0038,Capital Region,Small (<50 DSPs),10,48.0,17.6,19.14,17.22,27.5,15.2,0,1,0,0
AGY-0039,Finger Lakes,Large (200+),251,41.5,14.3,18.54,16.93,29.6,11.5,1,0,1,1
AGY-0040,New York City,Medium (50-199),110,29.7,9.3,21.86,20.25,43.1,8.1,1,1,1,0
AGY-0041,New York City,Small (<50 DSPs),29,32.2,9.4,23.33,22.5,39.4,7.3,1,0,1,0
AGY-0042,New York City,Medium (50-199),65,28.9,12.4,24.5,23.07,37.4,9.6,1,0,1,0
AGY-0043,New York City,Small (<50 DSPs),17,38.0,10.5,21.96,20.68,37.9,9.4,1,1,1,0
AGY-0044,Long Island,Small (<50 DSPs),41,46.4,18.4,21.05,20.24,31.8,14.7,1,0,1,0
